Symbol,Sector,PE Ratio,PEG Ratio,Price-to-Book Ratio,EV to Revenue
STX,TECHNOLOGY,None,32.54,101.31,1.587
ACN,TRADE & SERVICES,28.49,2.975,8.69,3.043
MDT,LIFE SCIENCES,28.92,3.04,2.02,3.895
ETN,TECHNOLOGY,31.55,2.11,3.994,3.625
JCI,TRADE & SERVICES,17.86,1.235,2.809,2.08
TT,LIFE SCIENCES,25.0,2.47,6.94,2.868
HZNP,LIFE SCIENCES,61.87,1.0,5.1,7.05
STE,LIFE SCIENCES,181.34,6.88,3.333,4.665
JHX,MANUFACTURING,23.22,1.179,6.14,2.567
ALLE,TRADE & SERVICES,17.81,2.033,12.19,3.715
JAZZ,LIFE SCIENCES,None,3.994,3.613,4.139
HZNP,LIFE SCIENCES,61.87,1.0,5.1,7.05
STE,LIFE SCIENCES,181.34,6.88,3.333,4.665
JHX,MANUFACTURING,23.22,1.179,6.14,2.567
ALLE,TRADE & SERVICES,17.81,2.033,12.19,3.715
JAZZ,LIFE SCIENCES,None,3.994,3.613,4.139
